customer_id,registration_date,age,gender,city,loyalty_member,total_spend,purchase_count,avg_basket_value,days_since_last_purchase,product_categories_bought,online_ratio,satisfaction_score,customer_service_contacts,newsletter_subscriber,monthly_income_bracket,district_type,store_distance_km,referral_source,account_age_days,is_lapsed
MP00034,06-wrz-2023,39,M,Wrocław,Nie,PLN 239.36,2,131.25,75,1,0.208,2.2,4,Nie,D,urban,8.8,walk_in,497,0
MP00035,31-sie-2024,64,K,Warszawa,Nie,"PLN 1,064.43",5,207.35,19,1,0.124,3.5,4,Nie,,urban,5.5,walk_in,137,0
MP00036,24-mar-2022,31,M,Bydgoszcz,Nie,"PLN 1,990.12",6,397.24,47,4,0.181,,3,Nie,D,urban,8.2,walk_in,1028,0
MP00037,30-lip-2024,45,K,Wrocław,Nie,PLN 818.14,4,204.13,46,3,0.35,3.1,3,Tak,B,suburban,14.8,friend,169,0
MP00038,27-cze-2024,,M,Katowice,Tak,"PLN 1,072.48",5,188.35,16,3,0.375,4.3,4,Tak,C,suburban,19.7,online_ad,202,0
MP00039,10-lis-2022,41,K,Kraków,Nie,PLN 748.87,5,144.01,132,1,0.342,2.8,3,Nie,D,suburban,13.3,social_media,797,1
MP00040,28-lis-2023,41,M,Gdynia,Nie,PLN 301.50,5,72.29,449,2,0.14,2.5,4,Tak,B,urban,4.4,walk_in,414,0
MP00041,12-lip-2022,43,K,Warszawa,Nie,"PLN 2,056.08",5,409.79,30,2,0.351,3.1,2,Tak,B,urban,1.9,friend,918,0
MP00042,13-kwi-2024,52,M,Gdańsk,Nie,"PLN 4,596.40",9,530.4,32,5,0.256,3.5,5,Nie,A,urban,7.5,walk_in,277,0
MP00043,11-lut-2024,59,M,Łódź,Tak,PLN 477.28,2,217.32,58,3,0.023,2.1,4,Tak,A,suburban,12.0,social_media,339,0
MP00044,02-lut-2023,42,M,Kraków,Nie,PLN 768.67,4,193.72,142,1,0.086,2.2,4,Tak,A,urban,3.4,social_media,713,0
MP00045,29-mar-2022,52,M,Warszawa,Nie,PLN 140.00,4,35.0,250,1,0.145,2.1,3,Nie,A,rural,32.7,friend,1023,1
MP00046,29-lis-2024,34,K,Szczecin,Nie,PLN 987.71,5,199.72,55,1,0.362,2.8,3,Tak,,suburban,15.8,friend,47,0
MP00047,11-maj-2023,51,K,Kraków,Tak,"PLN 2,018.28",6,356.22,18,3,0.405,3.8,4,Tak,B,suburban,19.4,friend,615,0
MP00048,06-wrz-2024,33,K,Gdańsk,Tak,PLN 805.84,4,243.55,5,2,0.324,3.3,4,Tak,,suburban,22.1,online_ad,131,0
MP00049,17-sty-2024,55,K,Gdynia,Tak,PLN 437.22,5,88.68,311,1,,3.5,3,Nie,E,rural,48.8,social_media,364,1
MP00050,05-maj-2024,69,K,Łódź,Tak,"PLN 1,161.65",4,290.31,14,3,0.16,3.5,5,Nie dotyczy,A,urban,4.5,online_ad,255,0
MP00051,15-kwi-2024,,M,Warszawa,Nie,PLN 144.04,2,69.89,156,2,0.319,2.4,5,Tak,D,urban,5.1,social_media,275,0
MP00052,13-sie-2022,18,K,Warszawa,Nie,PLN 37.85,1,35.0,540,1,0.297,1.5,5,Nie,B,rural,22.0,friend,886,0
MP00053,12-lut-2023,35,M,Warszawa,Tak,"PLN 3,946.90",9,448.62,6,4,0.539,4.2,1,Tak,E,suburban,18.0,social_media,703,0
MP00054,03-cze-2023,57,K,Wrocław,Nie,PLN 860.26,4,244.42,52,2,0.294,3.7,4,Nie,C,urban,8.8,social_media,592,0
MP00055,07-lip-2023,49,M,Lublin,Nie,PLN 812.55,4,217.71,70,1,0.351,3.3,4,Tak,E,urban,4.9,social_media,558,0
MP00056,03-mar-2022,45,K,Kraków,Nie,"PLN 3,006.71",7,430.17,27,4,0.319,3.6,4,Nie,D,urban,9.4,walk_in,1049,0
MP00057,28-sie-2023,54,M,Warszawa,Nie,PLN 38.40,1,35.0,540,1,0.09,2.7,5,Nie,A,rural,22.8,walk_in,506,1
MP00058,30-cze-2022,48,M,Szczecin,Nie,"PLN 2,213.00",5,442.46,15,5,0.412,3.9,2,Nie,E,urban,7.5,friend,930,0
MP00059,28-mar-2024,57,M,Łódź,Tak,PLN 539.59,2,272.68,33,1,0.228,3.2,3,Tak,,urban,7.2,social_media,293,0
MP00060,23-sty-2024,53,M,Gdańsk,Nie,PLN 770.86,4,196.43,36,1,0.271,3.6,5,Nie,A,urban,7.0,walk_in,358,0
MP00061,08-paź-2024,60,M,Gdynia,Tak,"PLN 1,297.71",4,324.64,56,2,0.159,3.7,3,Tak,D,rural,48.1,walk_in,99,1
MP00062,30-mar-2024,46,M,Kraków,Nie,"PLN 3,978.78",10,345.13,22,3,0.424,3.5,3,Nie,,suburban,5.6,online_ad,291,0
MP00063,15-lut-2023,53,M,Poznań,Nie,"PLN 1,162.43",7,167.19,28,3,0.161,3.0,5,Nie,D,urban,7.6,friend,700,0
MP00064,25-lis-2024,38,K,Białystok,Nie,PLN 140.00,4,35.0,168,1,0.274,1.2,6,Nie,A,rural,40.0,walk_in,51,0
MP00065,04-kwi-2023,35,M,Bydgoszcz,Tak,PLN 35.11,1,35.0,429,1,0.13,1.0,7,Nie,B,urban,5.5,walk_in,652,1
MP00066,02-sty-2023,62,K,Lublin,Nie,PLN 70.00,2,35.0,82,1,0.04,2.3,4,Nie,C,suburban,6.3,friend,744,0
MP00067,19-wrz-2024,45,M,Lublin,Nie,PLN 371.53,2,212.28,73,1,0.019,2.6,7,Nie,A,suburban,9.7,social_media,118,0
MP00068,19-lut-2023,52,K,Poznań,Nie,PLN 851.36,7,141.29,233,1,0.143,2.6,4,Tak,A,urban,9.2,friend,696,0
MP00069,07-kwi-2022,43,M,Poznań,Nie,PLN 617.62,5,131.15,149,1,0.051,2.9,4,Tak,,suburban,12.9,walk_in,1014,0
MP00070,06-cze-2023,35,M,Bydgoszcz,Tak,"PLN 1,476.37",5,269.78,6,4,0.261,3.2,3,Nie,E,rural,34.7,friend,589,0
MP00071,24-maj-2024,42,K,Bydgoszcz,Nie,"PLN 2,704.31",7,353.34,20,3,0.404,3.0,2,Nie,B,urban,2.3,,236,0
MP00072,07-sie-2022,59,K,Szczecin,Nie,PLN 80.98,2,44.46,215,1,0.0,2.0,6,Nie,A,urban,6.5,online_ad,892,1
MP00073,30-maj-2023,49,M,Łódź,Tak,"PLN 1,795.00",6,303.0,25,6,0.444,3.3,2,Nie,D,rural,52.0,online_ad,596,0
MP00074,04-cze-2022,21,M,Białystok,Nie,"PLN 1,586.22",5,313.94,40,1,0.61,,4,Nie,C,urban,9.3,walk_in,956,0
MP00075,27-sty-2024,39,M,Kraków,Nie,PLN 140.00,4,35.0,540,1,0.111,2.2,5,Tak,A,suburban,19.1,social_media,354,1
MP00076,13-cze-2023,63,M,Warszawa,Nie,PLN 154.66,4,35.0,296,1,0.205,3.1,5,Tak,D,urban,3.1,walk_in,582,0
MP00077,06-sty-2023,39,M,Łódź,Tak,"PLN 8,909.03",12,699.76,10,6,0.351,5.0,2,Nie dotyczy,D,rural,18.5,walk_in,740,0
MP00078,17-wrz-2022,20,K,Kraków,Nie,PLN 72.02,2,35.0,540,1,0.229,2.1,5,Tak,B,suburban,11.7,friend,851,1
MP00079,17-wrz-2023,65,M,Szczecin,Nie,PLN 35.19,1,35.0,540,1,0.048,1.9,6,Tak,C,rural,45.9,social_media,486,1
MP00080,09-sty-2024,50,K,Kraków,Nie,"PLN 4,999.41",13,439.53,3,5,0.687,3.7,2,Nie,,urban,9.8,walk_in,372,0
MP00081,27-paź-2024,41,M,Szczecin,Nie,PLN 38.80,1,35.0,150,1,0.113,3.3,4,Tak,,rural,19.0,friend,80,0
MP00082,02-maj-2023,38,M,Poznań,Nie,"PLN 2,762.66",7,377.15,9,3,0.434,3.8,2,Nie,E,suburban,14.7,online_ad,624,0
MP00083,07-lip-2022,55,M,Warszawa,Tak,"PLN 2,392.55",10,231.67,59,1,0.168,3.3,6,Nie,C,suburban,21.7,walk_in,923,0
MP00084,03-lip-2024,35,M,Kraków,Nie,PLN 258.43,2,137.32,70,2,0.204,1.6,3,Nie,B,suburban,19.4,social_media,196,0
MP00085,26-lis-2023,56,M,Poznań,Nie,"PLN 2,340.77",6,411.57,15,4,0.262,3.6,2,Nie dotyczy,E,urban,6.7,walk_in,416,0
MP00086,10-lut-2024,49,K,Bydgoszcz,Nie,PLN 527.77,4,126.92,114,1,0.148,2.5,3,Nie dotyczy,D,suburban,16.6,online_ad,340,1
MP00087,30-kwi-2022,45,K,Wrocław,Tak,"PLN 4,147.66",12,317.63,5,3,0.301,3.9,2,Nie,E,urban,3.0,online_ad,991,0
MP00088,18-gru-2022,44,M,Kraków,Nie,"PLN 3,015.26",7,378.52,18,4,0.368,,2,Nie dotyczy,,urban,5.1,walk_in,759,0
MP00089,24-kwi-2024,40,M,Kraków,Nie,PLN 140.00,4,35.0,157,1,0.07,2.3,5,Tak,A,suburban,14.5,social_media,266,1
MP00090,02-lip-2024,55,K,Warszawa,Nie,"PLN 3,097.35",6,522.87,5,5,0.316,4.9,2,Tak,A,urban,7.2,walk_in,197,0
MP00091,30-kwi-2023,32,M,Warszawa,Tak,"PLN 4,336.00",10,520.87,2,4,0.631,5.0,3,Nie,,suburban,9.3,social_media,626,0
MP00092,02-cze-2024,23,M,Gdynia,Tak,PLN 563.72,4,175.48,120,1,,3.4,3,Nie,B,urban,5.2,walk_in,227,0
MP00093,12-lip-2024,49,K,Warszawa,Nie,PLN 266.68,2,127.97,124,1,0.266,3.3,4,Tak,C,urban,9.6,online_ad,187,0
MP00094,09-mar-2023,50,M,Warszawa,Nie,"PLN 4,306.16",11,420.15,2,4,0.383,5.0,1,Tak,E,suburban,18.3,online_ad,678,0
MP00095,11-wrz-2024,48,M,Katowice,Nie,PLN 222.44,2,132.07,132,2,0.248,,3,Tak,D,urban,2.8,online_ad,126,0
MP00096,22-lis-2022,47,M,Szczecin,Nie,PLN 192.17,2,105.94,166,1,0.136,1.9,4,Tak,C,rural,61.8,friend,785,0
MP00097,30-wrz-2022,38,K,Wrocław,Nie,"PLN 2,007.13",5,390.71,9,3,0.111,3.9,3,Tak,D,rural,27.2,walk_in,838,0
MP00098,22-sty-2024,51,M,Szczecin,Tak,PLN 235.33,2,114.16,105,1,0.151,,6,Nie dotyczy,D,urban,7.6,friend,359,0
MP00099,04-gru-2023,41,K,Gdynia,Nie,PLN 527.93,6,101.25,69,2,0.158,3.3,4,Nie,D,urban,1.5,social_media,408,0
MP00100,15-cze-2022,36,M,Warszawa,Nie,"PLN 1,930.37",6,292.77,31,2,0.284,3.2,3,Nie,C,urban,8.6,social_media,945,0
MP00101,03-lip-2024,,M,Kraków,Nie,PLN 97.21,2,51.47,372,1,0.247,2.2,4,Nie,B,suburban,9.5,online_ad,196,0
MP00102,19-sie-2022,66,M,Katowice,Tak,PLN 35.77,1,35.0,108,1,0.25,,5,Tak,C,urban,4.2,walk_in,880,1
MP00103,03-cze-2024,21,K,Lublin,Nie,PLN 70.21,2,35.0,540,1,0.03,,5,Nie,A,rural,63.3,friend,226,0
MP00104,22-sty-2022,,M,Gdynia,Nie,"PLN 1,794.32",6,299.33,14,3,0.266,2.5,3,Nie,B,rural,44.0,walk_in,1089,0
MP00105,25-maj-2024,22,K,Łódź,Nie,PLN 70.00,2,35.0,475,1,0.192,2.3,6,Nie,,urban,3.0,social_media,235,0
MP00106,14-maj-2024,41,M,Gdynia,Nie,PLN 192.46,4,48.21,349,1,0.148,1.8,4,Tak,E,suburban,5.0,walk_in,246,1
MP00107,07-maj-2024,37,M,Łódź,Nie,"PLN 2,089.78",5,409.14,6,4,0.371,4.3,5,Nie dotyczy,B,urban,0.6,social_media,253,0
MP00108,03-sty-2024,18,M,Bydgoszcz,Nie,PLN 70.00,2,35.0,202,1,0.341,2.4,3,Nie,A,suburban,11.9,friend,378,1
MP00109,08-cze-2023,47,M,Katowice,Nie,"PLN 1,072.27",6,177.28,231,2,0.178,2.1,5,Tak,A,urban,5.5,social_media,587,0
MP00110,16-lut-2024,37,M,Warszawa,Nie,"PLN 1,970.41",4,452.7,27,3,0.305,2.7,4,Nie dotyczy,,suburban,17.1,online_ad,334,0
MP00111,10-lis-2022,18,K,Kraków,Tak,"PLN 1,606.41",5,333.87,26,2,0.4,,4,Tak,B,urban,9.3,friend,797,0
MP00112,07-maj-2024,52,K,Gdańsk,Nie,PLN 849.60,2,403.7,15,3,0.214,3.1,2,Nie dotyczy,E,rural,53.2,walk_in,253,0
MP00113,07-wrz-2023,59,K,Katowice,Nie,"PLN 1,500.95",5,305.33,25,1,0.162,,3,Nie,C,urban,9.3,walk_in,496,0
MP00114,26-maj-2023,60,K,Warszawa,Nie,PLN 155.95,4,35.0,313,1,0.03,2.0,5,Nie,,suburban,17.8,friend,600,0
MP00115,15-lip-2023,46,M,Katowice,Tak,PLN 805.74,5,181.57,106,2,0.161,3.0,3,Nie,,rural,37.3,online_ad,550,0
MP00116,21-wrz-2023,43,K,Łódź,Tak,"PLN 1,347.16",6,203.32,16,3,0.156,3.2,5,Nie,C,suburban,19.2,social_media,482,0
MP00117,24-lut-2022,58,M,Wrocław,Tak,"PLN 4,298.70",11,408.15,12,3,0.186,,2,Nie,E,suburban,14.3,friend,1056,0
MP00118,15-cze-2022,62,K,Łódź,Nie,PLN 791.50,7,96.73,151,2,,3.4,4,Nie,E,urban,2.5,friend,945,1
MP00119,07-paź-2022,56,K,Katowice,Nie,PLN 295.44,2,142.75,363,1,0.256,1.9,4,Nie,D,urban,8.4,social_media,831,0
MP00120,18-maj-2022,31,M,Warszawa,Nie,"PLN 1,619.94",9,168.53,36,4,0.404,2.6,4,Nie,,urban,7.0,walk_in,973,0
MP00121,05-maj-2023,44,K,Gdańsk,Tak,"PLN 8,812.62",17,525.15,4,4,0.287,3.8,2,Nie,D,rural,31.3,online_ad,621,0
MP00122,07-sty-2024,47,K,Warszawa,Tak,"PLN 2,009.85",5,381.21,54,5,0.445,3.5,2,Nie,D,urban,4.7,online_ad,374,1
MP00123,23-gru-2023,20,M,Gdynia,Nie,PLN 544.91,2,258.39,174,1,0.227,2.2,4,Tak,,urban,2.6,social_media,389,0
MP00124,08-cze-2023,48,K,Białystok,Tak,PLN 691.31,4,174.82,163,1,0.371,3.2,5,Nie,B,suburban,19.1,social_media,587,0
MP00125,27-lip-2024,69,M,Kraków,Tak,PLN 84.47,2,39.8,353,1,0.055,,4,Nie,D,urban,3.9,friend,172,0
MP00126,18-wrz-2023,50,M,Kraków,Nie,PLN 35.00,1,46.09,299,1,0.146,3.0,5,Nie,D,rural,58.8,social_media,485,1
MP00127,10-kwi-2022,60,M,Łódź,Nie,"PLN 1,779.28",5,375.19,17,3,0.209,3.9,4,Nie,B,urban,5.5,online_ad,1011,0
MP00128,20-kwi-2024,44,K,Wrocław,Nie,PLN 961.88,4,240.06,181,3,0.229,2.9,3,Nie dotyczy,,urban,4.4,online_ad,270,0
MP00129,28-wrz-2023,41,M,Białystok,Tak,PLN 946.90,5,182.07,13,2,0.416,2.8,3,Tak,B,suburban,23.7,online_ad,475,0
MP00130,02-gru-2023,47,K,Gdańsk,Tak,"PLN 2,055.23",7,272.42,43,2,0.223,3.0,5,Tak,C,suburban,27.6,online_ad,410,0
MP00131,18-wrz-2023,32,M,Wrocław,Nie,PLN 35.00,1,35.0,540,1,0.143,1.6,5,Tak,C,rural,55.9,,485,0
MP00132,05-wrz-2023,30,M,Bydgoszcz,Nie,"PLN 1,783.45",5,368.19,9,5,0.423,3.8,2,Tak,A,urban,5.2,social_media,498,0
MP00133,22-kwi-2022,57,K,Wrocław,Nie,PLN 374.40,10,35.0,540,1,0.035,1.5,5,Tak,A,urban,3.9,friend,999,0
MP00134,11-wrz-2023,58,M,Warszawa,Nie,"PLN 2,310.50",5,423.12,26,2,0.274,,3,Nie,D,urban,6.8,walk_in,492,0
MP00135,23-maj-2024,30,K,Warszawa,Tak,PLN 652.14,2,307.85,29,1,0.307,2.5,3,Tak,,urban,8.3,friend,237,0
MP00136,09-gru-2022,54,M,Łódź,Nie,PLN 397.99,2,201.46,39,1,0.095,3.3,4,Nie,B,suburban,29.5,friend,768,0
MP00137,28-paź-2023,41,K,Gdańsk,Tak,"PLN 1,637.57",4,340.06,24,2,0.251,3.9,3,Nie dotyczy,E,urban,4.8,online_ad,445,0
MP00138,17-lut-2022,,K,Warszawa,Tak,"PLN 1,353.46",4,336.23,22,3,0.334,3.8,3,Tak,C,suburban,21.7,social_media,1063,0
MP00139,25-sty-2023,48,M,Poznań,Nie,"PLN 1,771.11",7,248.71,31,3,,4.1,5,Nie,D,rural,29.7,online_ad,721,0
MP00140,02-maj-2023,,M,Kraków,Tak,PLN 203.40,1,179.9,62,2,0.212,2.4,4,Tak,C,urban,1.3,online_ad,624,0
MP00141,12-gru-2024,43,M,Bydgoszcz,Tak,"PLN 1,665.58",5,296.83,38,2,,3.3,4,Nie,C,suburban,11.3,social_media,34,0
MP00142,03-wrz-2022,59,K,Warszawa,Tak,"PLN 1,480.65",7,200.19,57,3,0.228,3.2,4,Nie,D,urban,0.6,online_ad,865,0
MP00143,09-lis-2022,46,K,Wrocław,Tak,"PLN 1,142.95",5,246.36,55,2,0.388,3.9,6,Nie,B,rural,40.5,social_media,798,0
MP00144,01-kwi-2023,49,M,Warszawa,Nie,"PLN 1,086.77",6,179.51,69,2,0.128,,3,Nie,,urban,4.0,social_media,655,0
MP00145,23-gru-2024,32,M,Łódź,Nie,PLN 36.45,1,35.0,278,1,0.232,1.2,7,Nie,D,suburban,22.0,walk_in,23,0
MP00146,25-lip-2024,68,K,Warszawa,Tak,PLN 466.51,2,201.75,63,1,0.27,2.8,4,Nie,E,urban,6.3,social_media,174,0
MP00147,21-lut-2022,48,M,Wrocław,Tak,"PLN 3,950.93",10,319.66,6,3,0.287,4.4,3,Nie dotyczy,E,urban,2.1,social_media,1059,0
MP00148,24-wrz-2022,51,K,Lublin,Nie,"PLN 3,270.96",7,490.8,9,3,0.263,4.2,2,Nie dotyczy,E,urban,6.9,friend,844,0
MP00149,21-cze-2024,23,K,Warszawa,Tak,"PLN 2,405.99",5,450.47,22,3,0.437,3.5,4,Nie,D,urban,2.3,friend,208,0
MP00150,19-mar-2022,32,M,Bydgoszcz,Nie,"PLN 1,313.02",6,234.1,73,2,0.458,3.1,3,Tak,D,rural,15.3,online_ad,1033,0
MP00151,27-lip-2024,57,M,Gdańsk,Tak,"PLN 3,794.28",9,425.84,12,3,0.495,3.8,4,Nie,C,urban,9.7,walk_in,172,0
MP00152,15-lis-2022,45,M,Poznań,Nie,"PLN 8,442.85",16,567.03,1,5,0.36,4.8,1,Nie dotyczy,E,rural,16.3,online_ad,792,0
MP00153,02-paź-2024,19,M,Gdańsk,Tak,PLN 39.67,1,35.0,540,1,0.227,1.7,6,Nie,,urban,3.7,walk_in,105,1
MP00154,28-lis-2022,54,K,Łódź,Nie,"PLN 2,430.49",7,340.73,20,5,0.27,3.7,2,Nie,E,urban,6.6,social_media,779,0
MP00155,29-kwi-2023,35,K,Bydgoszcz,Nie,"PLN 4,519.67",10,441.6,10,5,0.31,4.1,3,Tak,C,urban,4.0,friend,627,0
MP00156,31-gru-2023,59,K,Lublin,Tak,"PLN 1,980.57",5,394.56,17,3,0.238,,5,Nie,B,urban,4.1,social_media,381,0
MP00157,31-maj-2022,41,M,Lublin,Nie,"PLN 5,640.04",13,421.17,12,5,0.38,4.7,3,Nie,D,rural,51.1,online_ad,960,0
MP00158,09-wrz-2023,44,M,Kraków,Nie,"PLN 5,764.60",12,465.11,1,6,0.416,4.2,1,Nie dotyczy,C,urban,6.2,social_media,494,0
MP00159,14-lip-2023,56,K,Szczecin,Nie,PLN 311.57,6,54.94,301,1,0.165,1.9,5,Tak,A,rural,40.9,,551,1
MP00160,11-maj-2024,31,M,Warszawa,Nie,PLN 70.00,2,35.0,120,1,0.254,3.6,3,Tak,,urban,8.9,friend,249,1
MP00161,26-gru-2024,30,M,Poznań,Tak,PLN 519.69,2,290.72,52,2,,2.9,4,Tak,,urban,1.5,social_media,20,0
MP00162,03-sty-2024,40,M,Warszawa,Nie,PLN 579.69,4,166.36,220,1,0.395,2.1,3,Tak,A,urban,5.0,friend,378,0
MP00163,02-kwi-2023,52,K,Kraków,Tak,"PLN 12,904.37",16,794.14,0,7,0.519,4.8,1,Nie,E,suburban,11.0,online_ad,654,0
MP00164,30-mar-2023,26,K,Szczecin,Nie,"PLN 2,336.23",7,357.07,30,3,0.309,3.0,3,Tak,D,suburban,5.9,walk_in,657,0
MP00165,11-kwi-2023,22,M,Katowice,Nie,PLN 150.98,4,35.0,265,1,0.191,2.4,5,Nie,C,rural,64.0,social_media,645,1
MP00166,12-cze-2024,52,K,Warszawa,Tak,PLN 981.69,5,192.63,504,1,0.108,1.6,5,Nie,E,urban,7.5,friend,217,0
MP00167,28-gru-2022,35,M,Poznań,Nie,"PLN 1,254.51",6,245.07,34,2,0.265,3.4,4,Nie,E,urban,2.6,walk_in,749,0
MP00168,14-lip-2022,37,M,Szczecin,Nie,PLN 318.82,5,65.93,199,1,0.045,,3,Nie,E,suburban,15.1,friend,916,1
MP00169,11-sty-2023,20,M,Gdynia,Tak,"PLN 1,314.25",5,316.62,50,4,0.271,3.1,2,Nie,A,suburban,10.7,online_ad,735,0
MP00170,08-lut-2022,34,K,Szczecin,Nie,PLN 35.00,1,35.0,540,1,0.12,1.0,4,Nie,A,rural,49.2,online_ad,1072,1
MP00171,09-maj-2022,42,M,Warszawa,Nie,"PLN 4,850.49",10,504.85,3,4,0.494,4.3,1,Tak,E,urban,3.8,online_ad,982,0
MP00172,22-kwi-2022,53,M,Warszawa,Nie,PLN 624.87,4,169.0,138,1,0.216,1.9,3,Nie,A,suburban,28.0,walk_in,999,1
MP00173,28-kwi-2024,33,M,Szczecin,Nie,PLN 161.11,4,35.0,540,1,0.094,1.5,6,Nie,A,urban,2.5,walk_in,262,0
MP00174,05-mar-2024,62,K,Kraków,Nie,PLN 48.73,1,45.98,188,1,0.041,2.5,4,Tak,D,rural,32.5,walk_in,316,1
MP00175,07-lut-2024,34,K,Gdynia,Nie,PLN 141.78,4,36.4,94,2,0.125,1.7,4,Nie dotyczy,D,urban,9.4,friend,343,0
MP00176,29-maj-2023,34,M,Gdynia,Nie,PLN 648.08,4,145.42,60,1,0.148,,7,Nie,D,rural,59.2,social_media,597,0
