transaction_id,customer_id,transaction_date,store_id,product_category,amount,items_count,payment_method
T000243,MP00053,28-kwi-2023,S01,Paint,762.75,7,online
T000244,MP00053,13-cze-2023,S06,Flooring,881.96,10,mobile
T000245,MP00053,18-gru-2023,S01,Paint,478.99,7,mobile
T000246,MP00053,23-sty-2024,S01,Paint,719.48,6,mobile
T000247,MP00053,17-kwi-2024,S05,Flooring,231.17,1,cash
T000248,MP00053,06-lip-2024,S01,Flooring,222.51,1,card
T000249,MP00053,09-sty-2025,S01,Paint,54.06,1,card
T000250,MP00054,21-sie-2023,S04,Tools,314.87,4,mobile
T000251,MP00054,26-kwi-2024,S04,Garden,429.8,3,mobile
T000252,MP00054,23-maj-2024,S04,Tools,76.5,1,card
T000253,MP00054,24-lis-2024,S04,Garden,39.09,1,online
T000254,MP00055,02-maj-2024,S09,Building Materials,154.83,1,cash
T000255,MP00055,15-lip-2024,S09,Building Materials,34.97,1,cash
T000256,MP00055,23-sie-2024,S09,Building Materials,256.36,5,cash
T000257,MP00055,06-lis-2024,S09,Building Materials,366.39,6,card
T000258,MP00056,20-kwi-2022,S02,Garden,471.19,5,card
T000259,MP00056,18-wrz-2022,S02,Flooring,300.85,4,online
T000260,MP00056,19-paź-2022,S02,Flooring,398.37,3,online
T000261,MP00056,27-sty-2023,S02,Garden,128.91,1,card
T000262,MP00056,22-maj-2023,S02,Flooring,897.77,11,card
T000263,MP00056,17-kwi-2024,S02,Garden,576.23,3,card
T000264,MP00056,19-gru-2024,S02,Electrical,233.39,2,card
T000265,MP00057,29-sie-2023,S01,Flooring,38.4,1,cash
T000266,MP00058,21-wrz-2022,S07,Plumbing,27.53,1,card
T000267,MP00058,18-lut-2023,S12,Plumbing,704.25,8,cash
T000268,MP00058,12-mar-2023,S02,Building Materials,390.88,2,mobile
T000269,MP00058,21-paź-2023,S07,Garden,691.6,15,online
T000270,MP00058,31-gru-2024,S07,Plumbing,398.74,4,card
T000271,MP00059,01-cze-2024,S03,Flooring,200.3,2,card
T000272,MP00059,13-gru-2024,S03,Flooring,339.29,6,mobile
T000273,MP00060,01-lut-2024,S06,Building Materials,240.69,4,cash
T000274,MP00060,23-maj-2024,S06,Building Materials,235.8,4,cash
T000275,MP00060,28-lip-2024,S12,Building Materials,31.41,1,card
T000276,MP00060,10-gru-2024,S06,Building Materials,262.96,3,card
T000277,MP00061,21-paź-2024,S12,Paint,532.39,6,online
T000278,MP00061,24-paź-2024,S12,Paint,548.96,15,card
T000279,MP00061,01-lis-2024,S12,Electrical,31.53,1,card
T000280,MP00061,20-lis-2024,S12,Paint,184.83,2,mobile
T000281,MP00062,15-kwi-2024,S02,Building Materials,147.78,1,mobile
T000282,MP00062,22-cze-2024,S02,Tools,168.13,5,card
T000283,MP00062,01-lip-2024,S03,Tools,195.55,1,card
T000284,MP00062,07-lip-2024,S10,Building Materials,1555.73,12,cash
T000285,MP00062,11-sie-2024,S02,Tools,157.61,4,card
T000286,MP00062,22-paź-2024,S02,Building Materials,282.6,2,online
T000287,MP00062,31-paź-2024,S09,Plumbing,300.18,4,card
T000288,MP00062,14-lis-2024,S02,Tools,296.16,2,cash
T000289,MP00062,15-gru-2024,S02,Tools,218.07,7,card
T000290,MP00062,24-gru-2024,S02,Plumbing,656.97,4,mobile
T000291,MP00063,06-mar-2023,S02,Electrical,411.01,2,card
T000292,MP00063,07-mar-2023,S05,Tools,100.47,1,card
T000293,MP00063,25-maj-2023,S05,Tools,133.59,2,card
T000294,MP00063,11-sie-2023,S05,Lighting,251.82,6,online
T000295,MP00063,06-paź-2023,S05,Lighting,42.93,1,cash
T000296,MP00063,14-gru-2023,S05,Electrical,130.05,2,mobile
T000297,MP00063,18-gru-2024,S05,Lighting,92.56,2,card
T000298,MP00064,25-lis-2024,S12,Garden,20.67,1,card
T000299,MP00064,25-lis-2024,S10,Garden,70.04,1,online
T000300,MP00064,26-lis-2024,S10,Garden,18.05,1,card
T000301,MP00064,26-lis-2024,S10,Garden,31.24,1,online
T000302,MP00065,13-lis-2023,S08,Building Materials,35.11,1,mobile
T000303,MP00066,20-maj-2024,S09,Paint,28.57,1,online
T000304,MP00066,25-paź-2024,S09,Paint,41.43,1,cash
T000305,MP00067,29-wrz-2024,S09,Building Materials,345.25,7,cash
T000306,MP00067,03-lis-2024,S09,Building Materials,26.28,1,card
T000307,MP00068,25-mar-2023,S05,Lighting,146.38,1,online
T000308,MP00068,20-maj-2023,S03,Lighting,272.04,2,online
T000309,MP00068,08-cze-2023,S05,Lighting,28.04,1,online
T000310,MP00068,14-paź-2023,S05,Lighting,90.48,1,card
T000311,MP00068,22-lis-2023,S05,Lighting,97.72,1,online
T000312,MP00068,03-mar-2024,S05,Lighting,190.53,2,online
T000313,MP00068,27-maj-2024,S05,Lighting,26.17,1,card
T000314,MP00069,11-lip-2022,S05,Plumbing,113.18,2,mobile
T000315,MP00069,30-sie-2022,S05,Plumbing,204.56,1,online
T000316,MP00069,23-lip-2023,S08,Plumbing,69.75,1,online
T000317,MP00069,16-kwi-2024,S05,Plumbing,26.49,1,online
T000318,MP00069,19-sie-2024,S05,Plumbing,203.64,3,online
T000319,MP00070,25-cze-2023,S08,Paint,100.89,1,card
T000320,MP00070,23-wrz-2023,S08,Electrical,123.94,1,card
T000321,MP00070,21-gru-2023,S08,Plumbing,455.11,5,card
T000322,MP00070,02-lip-2024,S08,Electrical,168.06,1,card
T000323,MP00070,09-sty-2025,S08,Electrical,628.37,8,card
T000324,MP00071,27-maj-2024,S12,Tools,396.51,12,card
T000325,MP00071,29-maj-2024,S08,Electrical,198.62,1,card
T000326,MP00071,16-lip-2024,S08,Electrical,230.25,4,card
T000327,MP00071,05-sie-2024,S08,Tools,584.53,12,online
T000328,MP00071,23-sie-2024,S08,Tools,331.98,2,online
T000329,MP00071,25-lis-2024,S08,Electrical,220.77,1,mobile
T000330,MP00071,26-gru-2024,S08,Paint,741.65,19,card
T000331,MP00072,10-lis-2022,S07,Electrical,46.74,1,card
T000332,MP00072,14-cze-2024,S07,Electrical,34.24,1,card
T000333,MP00073,02-paź-2023,S03,Garden,510.38,4,card
T000334,MP00073,10-gru-2023,S03,Plumbing,177.43,2,card
T000335,MP00073,24-mar-2024,S07,Building Materials,628.24,5,cash
T000336,MP00073,10-cze-2024,S03,Flooring,227.09,4,online
T000337,MP00073,05-lip-2024,S03,Building Materials,136.0,1,card
T000338,MP00073,21-gru-2024,S07,Building Materials,115.86,1,cash
T000339,MP00074,26-gru-2022,S10,Electrical,325.16,3,card
T000340,MP00074,06-lis-2023,S06,Electrical,91.88,1,online
T000341,MP00074,26-lut-2024,S10,Electrical,18.79,1,mobile
T000342,MP00074,16-mar-2024,S10,Electrical,1008.53,12,online
T000343,MP00074,06-gru-2024,S10,Electrical,141.86,1,card
T000344,MP00075,27-sty-2024,S07,Tools,32.93,1,card
T000345,MP00075,27-sty-2024,S11,Tools,83.78,1,card
T000346,MP00075,28-sty-2024,S02,Tools,6.91,1,card
T000347,MP00075,28-sty-2024,S02,Tools,16.38,1,card
T000348,MP00076,18-cze-2023,S01,Electrical,73.55,1,online
T000349,MP00076,10-lip-2023,S01,Electrical,23.24,1,online
T000350,MP00076,12-paź-2023,S01,Electrical,52.35,1,card
T000351,MP00076,25-mar-2024,S09,Electrical,5.52,1,online
T000352,MP00077,15-lut-2023,S03,Electrical,374.45,3,online
T000353,MP00077,19-cze-2023,S03,Garden,890.26,7,online
T000354,MP00077,25-cze-2023,S03,Paint,595.3,11,online
T000355,MP00077,07-gru-2023,S05,Building Materials,1456.26,20,online
T000356,MP00077,12-sty-2024,S09,Paint,759.48,10,card
T000357,MP00077,02-kwi-2024,S03,Garden,1474.62,10,card
T000358,MP00077,05-kwi-2024,S03,Building Materials,340.38,3,online
T000359,MP00077,20-maj-2024,S03,Flooring,1074.24,18,card
T000360,MP00077,26-maj-2024,S03,Flooring,328.55,4,online
T000361,MP00077,27-maj-2024,S03,Flooring,601.4,5,card
T000362,MP00077,05-sie-2024,S03,Paint,621.83,4,card
T000363,MP00077,05-sty-2025,S03,Plumbing,392.26,7,online
T000364,MP00078,04-gru-2022,S02,Plumbing,11.23,1,online
T000365,MP00078,25-lip-2023,S08,Plumbing,60.79,1,online
T000366,MP00079,18-wrz-2023,S07,Plumbing,35.19,1,cash
T000367,MP00080,05-lut-2024,S02,Garden,128.44,1,cash
T000368,MP00080,20-mar-2024,S02,Tools,282.5,4,card
T000369,MP00080,29-mar-2024,S09,Plumbing,86.87,1,mobile
T000370,MP00080,16-kwi-2024,S02,Paint,442.26,3,cash
T000371,MP00080,30-kwi-2024,S02,Plumbing,1287.68,8,mobile
T000372,MP00080,02-cze-2024,S03,Garden,169.13,1,online
T000373,MP00080,03-lip-2024,S02,Lighting,351.72,7,card
T000374,MP00080,11-lip-2024,S02,Lighting,707.29,8,online
T000375,MP00080,27-lip-2024,S02,Plumbing,168.03,1,card
T000376,MP00080,04-paź-2024,S02,Paint,136.39,2,mobile
T000377,MP00080,11-paź-2024,S02,Tools,726.49,11,card
T000378,MP00080,19-lis-2024,S02,Tools,159.22,1,online
T000379,MP00080,12-sty-2025,S11,Garden,353.39,4,mobile
T000380,MP00081,28-paź-2024,S07,Tools,38.8,1,online
T000381,MP00082,02-maj-2023,S05,Lighting,530.44,11,mobile
T000382,MP00082,26-cze-2023,S05,Building Materials,86.24,1,online
T000383,MP00082,28-lis-2023,S05,Building Materials,152.06,1,card
T000384,MP00082,28-gru-2023,S08,Building Materials,626.15,4,card
T000385,MP00082,22-cze-2024,S05,Building Materials,87.03,1,card
T000386,MP00082,19-lis-2024,S05,Plumbing,538.63,3,mobile
T000387,MP00082,06-sty-2025,S05,Lighting,742.11,5,online
T000388,MP00083,08-sie-2022,S01,Electrical,304.39,2,card
T000389,MP00083,14-wrz-2022,S01,Electrical,273.18,1,cash
T000390,MP00083,12-lis-2022,S01,Electrical,502.26,9,card
T000391,MP00083,26-lis-2022,S01,Electrical,29.41,1,card
T000392,MP00083,08-mar-2023,S01,Electrical,250.91,3,cash
T000393,MP00083,03-kwi-2023,S01,Electrical,305.04,2,cash
T000394,MP00083,28-sie-2023,S01,Electrical,405.42,10,cash
T000395,MP00083,05-paź-2023,S01,Electrical,170.23,3,cash
T000396,MP00083,26-kwi-2024,S01,Electrical,37.19,1,cash
T000397,MP00083,17-lis-2024,S01,Electrical,114.52,2,card
T000398,MP00084,04-lip-2024,S02,Flooring,183.42,1,card
T000399,MP00084,06-lis-2024,S05,Tools,75.01,1,card
T000400,MP00085,03-mar-2024,S05,Lighting,327.02,3,card
T000401,MP00085,09-mar-2024,S05,Lighting,497.24,9,card
T000402,MP00085,24-wrz-2024,S05,Plumbing,39.68,1,card
T000403,MP00085,25-wrz-2024,S02,Paint,187.39,1,online
T000404,MP00085,01-paź-2024,S05,Paint,736.4,6,online
T000405,MP00085,31-gru-2024,S05,Paint,553.04,6,card
T000406,MP00086,18-kwi-2024,S04,Lighting,6.66,1,card
T000407,MP00086,02-cze-2024,S08,Lighting,166.59,1,card
T000408,MP00086,05-lip-2024,S08,Lighting,137.57,1,cash
T000409,MP00086,23-wrz-2024,S08,Lighting,216.95,1,cash
T000410,MP00087,23-sie-2022,S04,Paint,563.03,8,card
T000411,MP00087,02-wrz-2022,S04,Lighting,330.06,3,card
T000412,MP00087,10-gru-2022,S04,Building Materials,695.19,16,card
T000413,MP00087,08-sty-2023,S04,Lighting,232.0,1,card
T000414,MP00087,17-sty-2023,S04,Building Materials,353.77,2,online
T000415,MP00087,13-mar-2023,S04,Paint,165.13,1,card
